#NCU18XH103F6SRB,,#NCU18XH103F6SRB,,#NCU18XH103F6SRB,,
#2026/08/15,,#2026/08/15,,#2026/08/15,,
#vout,,#vout,,#vout,,
#Min,,#Typ,,#Max,,
Temp.[degC],Vout[V],Temp.[degC],Vout[V],Temp.[degC],Vout[V],
-40.0,3.1297151780931367,-40.0,3.139534748020928,-40.0,3.148877231089264,
-39.0,3.1204968930886374,-39.0,3.1306972553972945,-39.0,3.140411427689119,
-38.0,3.110884436850237,-38.0,3.1214722373099217,-38.0,3.1315650400666337,
-37.0,3.1008674922933186,-37.0,3.1118489546213883,-37.0,3.122327082992563,
-36.0,3.0904358387356297,-36.0,3.101816680429397,-36.0,3.1126863418938373,
-35.0,3.0795797204977267,-35.0,3.0913650416321574,-35.0,3.102631820344443,
-34.0,3.0682889705099177,-34.0,3.08048352162969,-34.0,3.092152954038841,
-33.0,3.0565544666848155,-33.0,3.0691623250530227,-33.0,3.08123884163747,
-32.0,3.0443666730626444,-32.0,3.057391294758549,-32.0,3.069879166930917,
-31.0,3.031716928544304,-31.0,3.045161150821353,-31.0,3.058063573813665,
-30.0,3.018596767282959,-30.0,3.0324622954248617,-30.0,3.0457823172075162,
-29.0,3.005016051153529,-29.0,3.019303975931592,-29.0,3.0330429710799858,
-28.0,2.9909500497804613,-28.0,3.0056606802806036,-28.0,3.019819929938078,
-27.0,2.9763909924732252,-27.0,2.991524206936779,-27.0,3.0061042364999575,
-26.0,2.961332815607424,-26.0,2.9768871503894485,-26.0,2.9918876732770916,
-25.0,2.945768853126674,-25.0,2.961742456856788,-25.0,2.9771620608520566,
-24.0,2.9296936946453505,-24.0,2.946083755887879,-24.0,2.961920514227483,
-23.0,2.913103081901161,-23.0,2.9299050201701764,-23.0,2.9461559494058522,
-22.0,2.8959921312609436,-22.0,2.9132013216793626,-22.0,2.9298623756668465,
-21.0,2.878357764570047,-21.0,2.895968500235073,-21.0,2.913034662177672,
-20.0,2.860197961270949,-20.0,2.8782030683809516,-20.0,2.8956680413761746,
-19.0,2.8415547952770615,-19.0,2.859945433233721,-19.0,2.877800755482595,
-18.0,2.8223840303047956,-18.0,2.8411504609352187,-18.0,2.859388813230498,
-17.0,2.8026850732420496,-17.0,2.8218174414914654,-17.0,2.840429226685432,
-16.0,2.782458585874144,-16.0,2.801946183021194,-16.0,2.820920913520187,
-15.0,2.7617062153591747,-15.0,2.7815364118549053,-15.0,2.8008625469780046,
-14.0,2.740430097494985,-14.0,2.760589526610099,-14.0,2.7802557943382733,
-13.0,2.718634082327624,-13.0,2.7391084203423475,-13.0,2.75910033585993,
-12.0,2.69632337340559,-12.0,2.7170970727674817,-12.0,2.7374007776430234,
-11.0,2.6735027006446455,-11.0,2.69455984500732,-11.0,2.7151592910300404,
-10.0,2.6501786181057767,-10.0,2.6715027939557614,-10.0,2.692380167456497,
-9.0,2.626250690226394,-9.0,2.647822220289844,-9.0,2.668962760836544,
-8.0,2.601836571178839,-8.0,2.623638823131552,-8.0,2.6450232203297466,
-7.0,2.5769485474816975,-7.0,2.5989596986801318,-7.0,2.6205675124650956,
-6.0,2.5515951357009112,-6.0,2.5737947744032463,-6.0,2.595607063586599,
-5.0,2.525792149853831,-5.0,2.548157987068317,-5.0,2.5701527258015573,
-4.0,2.4995501239308275,-4.0,2.5220595619488115,-4.0,2.544214430820998,
-3.0,2.472884568399387,-3.0,2.4955143832276936,-3.0,2.517806500701887,
-2.0,2.4458091159375956,-2.0,2.468535362442994,-2.0,2.4909412350597613,
-1.0,2.4183441451636245,-1.0,2.4411416569719777,-1.0,2.463636737971217,
0.0,2.390501792114695,0.0,2.4133465525301867,0.0,2.435907489865089,
1.0,2.3623960578995997,1.0,2.3852644417341167,1.0,2.4078633679450308,
2.0,2.333945692662364,2.0,2.3568113937183637,2.0,2.379425203403937,
3.0,2.305170999607717,3.0,2.328008094041689,3.0,2.350609190101171,
4.0,2.2760883531679266,4.0,2.298874492232176,4.0,2.3214383905715597,
5.0,2.2467223177019395,5.0,2.2694295324020723,5.0,2.291929362559058,
6.0,2.2170906972227615,6.0,2.239690903833178,6.0,2.2621066193823265,
7.0,2.1872173447288135,7.0,2.2096892283903706,7.0,2.231987676478019,
8.0,2.1571184465488544,8.0,2.1794376814546936,8.0,2.201599468305832,
9.0,2.1268210526315783,9.0,2.148963020321035,9.0,2.170957787986478,
10.0,2.096348972023188,10.0,2.1182843637535584,10.0,2.1400930176242046,
11.0,2.065671741009107,11.0,2.087384388125186,11.0,2.10898046627938,
12.0,2.034872979214781,12.0,2.056331403762663,12.0,2.0776952509565607,
13.0,2.0039696486552536,13.0,2.0251599344809468,13.0,2.0462617667311664,
14.0,1.9729886815539919,14.0,1.9938865976933244,14.0,2.014704792246607,
15.0,1.9419532190377042,15.0,1.9625326767584657,15.0,1.9830497794580972,
16.0,1.9108818292256742,16.0,1.931131390646064,16.0,1.9513232174096453,
17.0,1.8798058351555784,17.0,1.899701269604182,17.0,1.9195472301812686,
18.0,1.8487409829507653,18.0,1.868261392083787,18.0,1.8877448540074888,
19.0,1.8177103970291664,19.0,1.8368449055599891,19.0,1.8559469650032747,
20.0,1.7867397526205258,20.0,1.8054686261633566,20.0,1.8241742936729006,
21.0,1.7559009373915058,21.0,1.7742071656779836,21.0,1.7924979565070818,
22.0,1.7251356469260446,22.0,1.7430069781596342,22.0,1.7608763287529168,
23.0,1.6944683330363979,23.0,1.7118963401429295,23.0,1.7293196739052015,
24.0,1.6639120917951689,24.0,1.68088462576356,24.0,1.697847669125726,
25.0,1.6335,25.0,1.65,25.0,1.6664999999999999,
26.0,1.6022972759633944,26.0,1.619259251713846,26.0,1.6362333309562862,
27.0,1.5712802911685106,27.0,1.5886924054243265,27.0,1.6061210728605293,
28.0,1.5404596464014941,28.0,1.558299466934079,28.0,1.5761701116654785,
29.0,1.5098597142765142,29.0,1.5281118115140513,29.0,1.546419631058156,
30.0,1.4794916567537189,30.0,1.4981490076169153,30.0,1.5168691813453383,
31.0,1.4494642975976573,31.0,1.4685083332870836,31.0,1.4876228879928017,
32.0,1.4197248559211746,32.0,1.4391362208676135,32.0,1.45863680491274,
33.0,1.3903053081398342,33.0,1.4100630551689775,33.0,1.42991927346115,
34.0,1.3612131136118173,34.0,1.381294951480019,34.0,1.401507239289519,
35.0,1.3324507759199686,35.0,1.352856106066238,35.0,1.3733912426874668,
36.0,1.3040394141654368,36.0,1.3247445635583328,36.0,1.345590536546175,
